130,Suabit (Pob.),12805042,01,0128,012805
131,Sumader,12805043,01,0128,012805
132,Tabug,12805044,01,0128,012805
133,Ablan Sarat,12806001,01,0128,012806
134,Agaga,12806002,01,0128,012806
135,Bayog,12806005,01,0128,012806
136,Bobon,12806006,01,0128,012806
137,Buduan,12806007,01,0128,012806
138,Nagsurot,12806008,01,0128,012806
139,Paayas,12806009,01,0128,012806
140,Pagali,12806010,01,0128,012806
141,Poblacion,12806011,01,0128,012806
142,Saoit,12806013,01,0128,012806
143,Tanap,12806014,01,0128,012806
144,Angset,12807001,01,0128,012807
145,Barbaqueso (Pob.),12807003,01,0128,012807
146,Virbira,12807004,01,0128,012807
147,Anggapang Norte,12808001,01,0128,012808
148,Anggapang Sur,12808002,01,0128,012808
149,Bimmanga,12808003,01,0128,012808
150,Cabuusan,12808004,01,0128,012808
151,Comcomloong,12808005,01,0128,012808
152,Gaang,12808006,01,0128,012808
153,Lang-ayan-Baramban,12808007,01,0128,012808
154,Lioes,12808008,01,0128,012808
155,Maglaoi Centro,12808009,01,0128,012808
156,Maglaoi Norte,12808010,01,0128,012808
157,Maglaoi Sur,12808011,01,0128,012808
158,Paguludan-Salindeg,12808013,01,0128,012808
159,Pangil,12808014,01,0128,012808
160,Pias Norte,12808015,01,0128,012808
161,Pias Sur,12808016,01,0128,012808
162,Poblacion I,12808017,01,0128,012808
163,Poblacion II,12808018,01,0128,012808
164,Salugan,12808019,01,0128,012808
165,San Simeon,12808020,01,0128,012808
166,Santa Cruz,12808021,01,0128,012808
167,Tapao-Tigue,12808022,01,0128,012808
168,Torre,12808023,01,0128,012808
169,Victoria,12808024,01,0128,012808
170,Albano (Pob.),12809001,01,0128,012809
171,Bacsil,12809002,01,0128,012809
172,Bagut,12809003,01,0128,012809
173,Parado,12809004,01,0128,012809
174,Baresbes,12809005,01,0128,012809
175,Barong,12809006,01,0128,012809
176,Bungcag,12809007,01,0128,012809
177,Cali,12809009,01,0128,012809
178,Capasan,12809010,01,0128,012809
179,Dancel (Pob.),12809011,01,0128,012809
180,Foz,12809012,01,0128,012809
181,Guerrero (Pob.),12809013,01,0128,012809
182,Lanas,12809014,01,0128,012809
183,Lumbad,12809015,01,0128,012809
184,Madamba (Pob.),12809016,01,0128,012809
185,Mandaloque,12809017,01,0128,012809
186,Medina,12809018,01,0128,012809
187,Ver,12809019,01,0128,012809
188,San Marcelino,12809020,01,0128,012809
189,Puruganan (Pob.),12809021,01,0128,012809
190,Peralta (Pob.),12809022,01,0128,012809
191,Root,12809023,01,0128,012809
192,Sagpatan,12809024,01,0128,012809
193,Saludares,12809025,01,0128,012809
194,San Esteban,12809026,01,0128,012809
195,Espiritu,12809027,01,0128,012809
196,Sulquiano,12809028,01,0128,012809
197,San Francisco,12809029,01,0128,012809
198,Suyo,12809030,01,0128,012809
199,San Marcos,12809031,01,0128,012809
200,Elizabeth,12809032,01,0128,012809
201,Cabaritan,12810001,01,0128,012810
202,San Isidro,12810002,01,0128,012810
203,Kalaw,12810003,01,0128,012810
204,Quibel,12810004,01,0128,012810
205,Balioeg,12811001,01,0128,012811
206,Bangsar,12811002,01,0128,012811
207,Barbarangay,12811003,01,0128,012811
208,Bomitog,12811004,01,0128,012811
209,Bugasi,12811005,01,0128,012811
210,Caestebanan,12811006,01,0128,012811
211,Caribquib,12811008,01,0128,012811
212,Catagtaguen,12811009,01,0128,012811
213,Crispina,12811011,01,0128,012811
214,Hilario (Pob.),12811012,01,0128,012811
215,Imelda,12811013,01,0128,012811
216,Lorenzo (Pob.),12811014,01,0128,012811
217,Macayepyep,12811015,01,0128,012811
218,Marcos (Pob.),12811016,01,0128,012811
219,Nagpatayan,12811017,01,0128,012811
220,Valdez,12811018,01,0128,012811
221,Sinamar,12811019,01,0128,012811
222,Tabtabagan,12811020,01,0128,012811
223,Valenciano (Pob.),12811021,01,0128,012811
224,Binacag,12811022,01,0128,012811
225,"Bgy. No. 42, Apaya",12812001,01,0128,012812
226,"Bgy. No. 36, Araniw",12812002,01,0128,012812
227,"Bgy. No. 56-A, Bacsil North",12812003,01,0128,012812
